id,cid,label,ChineseSimplified,ChineseTraditional,English,Japanese,Korean,French,German,Spanish,Portuguese,Russian,Turkish,Thai,Indonesian,Vietnamese,Italian,Polish,Dutch,Swedish,Norwegian,Danish,Finnish,Ukrainian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,,???,???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,,,杀过人的,杀人犯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,,,打过人的,施暴者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,,,偷过东西的,小偷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,,,抢过劫的,抢劫犯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,,,袭过警的,袭警者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,,,越过狱的,越狱者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,,,劫过狱的,劫狱者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3007,,,绑架过别人的,绑架犯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,Distance,距离,距離,Distance,距離,거리,Distance,Entfernung,Distancia,Distância,Расстояние,Mesafe,ระยะทาง,Jarak,Khoảng cách,Distanza,Odległość,Afstand,Avstånd,Avstand,Afstand,Etäisyys,Відстань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26739,,,抵达,抵达,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000021,,,水星1服,水星1服,Mercury Server 1,マーキュリー第1サーバー,수성 1서버,Serveur Mercure 1,Merkur-Server 1,Servidor Mercurio 1,Servidor Mercúrio 1,Сервер Меркурий 1,Merkür Sunucusu 1,เซิร์ฟเวอร์เมอร์คิวรี 1,Server Merkurius 1,Máy chủ Sao Thủy 1,Server Mercurio 1,Serwer Merkury 1,Mercurius-server 1,Merkurius-server 1,Merkur-server 1,Merkur-server 1,Merkurius-palvelin 1,Сервер Меркурій 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000022,,,风云2服,风云2服,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000023,,,风云3服,风云3服,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000024,,,风云4服,风云4服,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000025,,,风云5服,风云5服,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
