id,cid,name,description,type,weight,volume,value,plotors,tags
1000001,游戏币,游戏币,游戏币的描述,Currency,1,1,1,,
1000086,代金币,代金币,代金币的描述,Currency,1,1,1,,
1000002,料理点,料理点,料理点的描述,,50000,100000,,,制作:料理;容量:100000;负重:50000
1000003,祈祷点,祈祷点,祈祷点的描述,,30000,80000,,,制作:祈祷;容量:100000;负重:50000
1000004,制药点,制药点,制药点的描述,,40000,90000,,,制作:制药;容量:100000;负重:50000
1000005,轻装制造点,轻装制造点,轻装制造点的描述,,35000,85000,,,制作:轻装;容量:100000;负重:50000
1000006,重装制造点,重装制造点,重装制造点的描述,,60000,120000,,,制作:重装;容量:100000;负重:50000
1000007,木箱,木箱,木箱的描述,,5000,50000,,,容量:80000;负重:60000
1000008,木床,木床,木床的描述,,30000,1000000,,,
1000009,木桌,木桌,木桌的描述,,10000,100000,,,容量:60000;负重:30000
1000010,铁笼,铁笼,铁笼的描述,,20000,200000,,,容量:300000;负重:200000
1000011,草丛,草丛,草丛的描述,Miscellaneous,2000,8000,50,,生成:苎麻;生成:药草;生成:棉花
1000062,稻穗,稻穗,稻穗的描述,Miscellaneous,2500,9000,60,,生成:稻米
1000076,麦穗,麦穗,麦穗的描述,Miscellaneous,2500,9000,60,,生成:小麦
1000077,瓜藤,瓜藤,瓜藤的描述,Miscellaneous,2000,8000,70,,生成:瓜果
1000078,菜垄,菜垄,菜垄的描述,Miscellaneous,2500,9000,70,,生成:蔬菜
1000079,泉,泉,泉的描述,Miscellaneous,50000,20000,50,,生成:清水
1000080,井,井,井的描述,Miscellaneous,80000,30000,50,,生成:清水
1000059,铁矿,铁矿,铁矿的描述,Miscellaneous,80000,15000,80,,掉落:铁矿石:30%×1~3
1000060,银矿,银矿,银矿的描述,Miscellaneous,100000,12000,90,,掉落:银矿石:40%×1~2
1000061,金矿,金矿,金矿的描述,Miscellaneous,120000,10000,100,,掉落:金矿石:50%×2~5
1000012,生肉,生肉,生肉的描述,Material,500,500,2,,肉
1000013,兽皮,兽皮,兽皮的描述,Material,1500,2000,8,,柔软
1000014,羊绒,羊绒,羊绒的描述,Material,100,500,10,,厚
1000015,铁矿石,铁矿石,铁矿石的描述,Material,500,70,5,,坚硬
1000016,银矿石,银矿石,银矿石的描述,Material,500,50,8,,导电
1000017,金矿石,金矿石,金矿石的描述,Material,500,25,10,,神性
1000018,清水,清水,清水的描述,Material,100,100,1,,液体
1000019,稻米,稻米,稻米的描述,Material,50,100,3,,稻米
1000081,小麦,小麦,小麦的描述,Material,50,100,3,,小麦
1000082,瓜果,瓜果,瓜果的描述,Material,80,150,4,,瓜果
1000083,蔬菜,蔬菜,蔬菜的描述,Material,70,130,4,,蔬菜
1000020,苎麻,苎麻,苎麻的描述,Material,100,200,4,,粗糙
1000021,棉花,棉花,棉花的描述,Material,50,300,5,,薄
1000022,药草,药草,药草的描述,Material,30,100,8,,治疗
1000063,皮革,皮革,皮革的描述,Material,1200,1500,6,,韧
1000023,沙拉,沙拉,沙拉的描述,Food,100,200,10,,使用:食用;料理:蔬菜
1000084,果盒,果盒,果盒的描述,Food,120,250,20,,使用:食用;料理:瓜果
1000024,面饼,面饼,面饼的描述,Food,150,300,30,,使用:食用;料理:小麦
1000025,饭团,饭团,饭团的描述,Food,150,250,40,,使用:食用;料理:稻米
1000069,面包,面包,面包的描述,Food,200,400,50,,使用:食用;料理:小麦
1000070,烤肉,烤肉,烤肉的描述,Food,300,300,60,,使用:食用;料理:肉
1000071,三明治,三明治,三明治的描述,Food,250,400,70,,使用:食用;料理:小麦;料理:肉;料理:蔬菜
1000072,炒饭,炒饭,炒饭的描述,Food,300,350,80,,使用:食用;料理:稻米;料理:肉;料理:蔬菜
1000074,肉卷,肉卷,肉卷的描述,Food,400,400,90,,使用:食用;料理:小麦;料理:肉;料理:蔬菜
1000075,火锅,火锅,火锅的描述,Food,500,600,100,,使用:食用;料理:稻米;料理:肉;料理:蔬菜;料理:瓜果
1000026,基础铭文碎片,基础铭文碎片,基础铭文碎片的描述,Inscription,10,5,10,,祈祷:神性
1000027,标准铭文碎片,标准铭文碎片,标准铭文碎片的描述,Inscription,20,10,20,,祈祷:神性
1000028,高级铭文碎片,高级铭文碎片,高级铭文碎片的描述,Inscription,30,15,30,,祈祷:神性
1000029,基础铭文,基础铭文,基础铭文的描述,Inscription,40,20,40,,祈祷:神性
1000030,标准铭文,标准铭文,标准铭文的描述,Inscription,50,25,50,,祈祷:神性
1000064,高级铭文,高级铭文,高级铭文的描述,Inscription,60,30,60,,祈祷:神性
1000065,基础圣召,基础圣召,基础圣召的描述,Inscription,70,35,70,,祈祷:神性
1000066,标准圣召,标准圣召,标准圣召的描述,Inscription,80,40,80,,祈祷:神性
1000067,高级圣召,高级圣召,高级圣召的描述,Inscription,90,45,90,,祈祷:神性
1000068,神召,神召,神召的描述,Inscription,100,50,100,,祈祷:神性
1000031,基础药粉,基础药粉,基础药粉的描述,Medicine,20,10,10,,使用:治愈;制药:治疗
1000032,标准药粉,标准药粉,标准药粉的描述,Medicine,30,15,20,,使用:治愈;制药:治疗
1000033,高级药粉,高级药粉,高级药粉的描述,Medicine,40,20,30,,使用:治愈;制药:治疗
1000034,基础药膏,基础药膏,基础药膏的描述,Medicine,50,25,40,,使用:治愈;制药:液体;制药:治疗
1000035,标准药膏,标准药膏,标准药膏的描述,Medicine,60,30,50,,使用:治愈;制药:液体;制药:治疗
1000036,高级药膏,高级药膏,高级药膏的描述,Medicine,70,35,60,,使用:治愈;制药:液体;制药:治疗
1000037,基础药剂,基础药剂,基础药剂的描述,Medicine,80,40,70,,使用:治愈;制药:液体;制药:治疗
1000038,标准药剂,标准药剂,标准药剂的描述,Medicine,90,45,80,,使用:治愈;制药:液体;制药:治疗
1000039,高级药剂,高级药剂,高级药剂的描述,Medicine,100,50,90,,使用:治愈;制药:液体;制药:治疗
1000040,特效药,特效药,特效药的描述,Medicine,120,60,100,,使用:治愈;制药:液体;制药:治疗
1000041,大刀,大刀,大刀的描述,Weapon,2500,400,80,,锋利;重装:坚硬
1000042,匕首,匕首,匕首的描述,Weapon,300,50,50,,锋利;重装:坚硬
1000043,头盔,头盔,头盔的描述,Armor,1500,3000,65,,重装:坚硬;装备部位:头
1000044,铁靴,铁靴,铁靴的描述,Armor,2000,2000,70,,重装:坚硬;装备部位:脚
1000045,钢棍,钢棍,钢棍的描述,Weapon,2000,300,75,,重装:坚硬
1000046,长剑,长剑,长剑的描述,Weapon,1500,200,90,,锋利;重装:坚硬
1000047,铠甲,铠甲,铠甲的描述,Armor,15000,8000,100,,重装:坚硬;装备部位:胸
1000048,斗篷,斗篷,斗篷的描述,Armor,500,2000,55,,轻装:厚;装备部位:背
1000049,背包,背包,背包的描述,Bag,800,5000,60,,轻装:韧;轻装:粗糙;装备部位:背;容量:45000;负重:18000
1000050,布衣,布衣,布衣的描述,Armor,400,1500,30,,轻装:粗糙;装备部位:胸
1000051,皮衣,皮衣,皮衣的描述,Armor,1000,2000,30,,轻装:柔软;装备部位:胸
1000052,布鞋,布鞋,布鞋的描述,Armor,200,800,20,,轻装:薄;装备部位:脚
1000053,头巾,头巾,头巾的描述,Armor,50,200,25,,轻装:薄;装备部位:头
1000054,皮帽,皮帽,皮帽的描述,Armor,150,500,25,,轻装:柔软;装备部位:头
1000055,布裤,布裤,布裤的描述,Armor,300,1000,30,,轻装:粗糙;装备部位:腿
1000056,皮裤,皮裤,皮裤的描述,Armor,600,1500,30,,轻装:柔软;装备部位:腿
1000057,腰带,腰带,腰带的描述,Armor,100,300,35,,轻装:粗糙;装备部位:腰;槽位:袋子*3
1000058,皮带,皮带,皮带的描述,Armor,150,400,35,,轻装:韧;装备部位:腰;槽位:袋子*3
1000085,望远镜,望远镜,可以看到更远距离的工具,Armor,500,300,50,,装备部位:头;视野:5
